name,grape,region,variety,rating,notes
"Château La Lagune","Bordeaux Blend","Haut-Médoc, Bordeaux","Blend","Third Growth","The first wine of the Third Growths listed for the Haut-Médoc [4]."
"Château Desmirail","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","Ranked as a Third Growth in 1855 [4]."
"Château Calon-Ségur","Bordeaux Blend","Saint-Estèphe, Bordeaux","Blend","Third Growth","A notable Troisième Cru from Saint-Estèphe [4]."
"Château Ferrière","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","Included in the official 1855 ranking [4]."
"Château Marquis d'Alesme Becker","Bordeaux Blend","Margaux, Bordeaux","Blend","Third Growth","Classified as a Third Growth in the Médoc [4]."
"Château Saint-Pierre","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Fourth Growth","Ranked as a Quatrième Cru in 1855 [9]."
"Château Duhart-Milon","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fourth Growth","Part of the 1855 Classification of the Médoc [9]."
"Château Pouget","Bordeaux Blend","Margaux, Bordeaux","Blend","Fourth Growth","A Fourth Growth estate from Margaux [9]."
"Château La Tour Carnet","Bordeaux Blend","Haut-Médoc, Bordeaux","Blend","Fourth Growth","Included in the official 1855 ranking [9]."
"Château Lafon-Rochet","Bordeaux Blend","Saint-Estèphe, Bordeaux","Blend","Fourth Growth","A Quatrième Cru from Saint-Estèphe [9]."
"Château Beychevelle","Bordeaux Blend","Saint-Julien, Bordeaux","Blend","Fourth Growth","Ranked as a Fourth Growth in 1855 [9]."
"Château Prieuré-Lichine","Bordeaux Blend","Margaux, Bordeaux","Blend","Fourth Growth","A Fourth Growth producer in the Margaux appellation [9]."
"Château Marquis de Terme","Bordeaux Blend","Margaux, Bordeaux","Blend","Fourth Growth","Included in the 1855 Classification of the Médoc [9]."
"Château Pontet-Canet","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","A Fifth Growth estate from Pauillac [9]."
"Château Batailley","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Classified as a Cinquième Cru in 1855 [9]."
"Château Haut-Batailley","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Included in the official 1855 ranking [9]."
"Château Grand-Puy-Lacoste","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Ranked as a Fifth Growth in 1855 [9]."
"Château Grand-Puy-Ducasse","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","A Fifth Growth producer from Pauillac [9]."
"Château Lynch-Bages","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Renowned Fifth Growth estate in Pauillac [9]."
"Château Lynch-Moussas","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Classified as a Fifth Growth in 1855 [9]."
"Château Dauzac","Bordeaux Blend","Margaux, Bordeaux","Blend","Fifth Growth","Part of the official Médoc ranking [9]."
"Château d'Armailhac","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Ranked as a Fifth Growth in 1855 [9]."
"Château du Tertre","Bordeaux Blend","Margaux, Bordeaux","Blend","Fifth Growth","Included in the 1855 Classification of the Médoc [9]."
"Château Haut-Bages-Libéral","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","A Cinquième Cru from Pauillac [9]."
"Château Pédesclaux","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Ranked as a Fifth Growth in 1855 [9]."
"Château Belgrave","Bordeaux Blend","Haut-Médoc, Bordeaux","Blend","Fifth Growth","Included in the official 1855 ranking [9]."
"Château de Camensac","Bordeaux Blend","Haut-Médoc, Bordeaux","Blend","Fifth Growth","A Fifth Growth estate from the Haut-Médoc [9]."
"Château Cos Labory","Bordeaux Blend","Saint-Estèphe, Bordeaux","Blend","Fifth Growth","Part of the 1855 Classification of the Médoc [9]."
"Château Clerc Milon","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","Ranked as a Fifth Growth in 1855 [9]."
"Château Croizet Bages","Bordeaux Blend","Pauillac, Bordeaux","Blend","Fifth Growth","A Cinquième Cru from Pauillac [9]."
"Château Cantemerle","Bordeaux Blend","Haut-Médoc, Bordeaux","Blend","Fifth Growth","Added to the classification in 1856 [9]."
"Château La Tour Blanche","White Noble Grapes","Sauternes, Bordeaux","Blend","First Growth","A premier cru estate in Sauternes [10]."
"Château Lafaurie-Peyraguey","White Noble Grapes","Sauternes, Bordeaux","Blend","First Growth","Ranked as a First Growth for sweet white wine [10]."
"Château Suduiraut","White Noble Grapes","Sauternes, Bordeaux","Blend","First Growth","A renowned First Growth producer in Sauternes [10]."
"Château Rieussec","White Noble Grapes","Sauternes, Bordeaux","Blend","First Growth","Classified as a First Growth in 1855 [10]."
"Franciacorta","Chardonnay, Pinot Noir, Pinot Blanc","Lombardy, Italy","Sparkling","DOCG","Produced as Spumante or Rosé using the traditional method [11]."
"Amarone della Valpolicella","Corvina, Rondinella","Veneto, Italy","Blend","DOCG","A rich red wine from the province of Verona [12]."
"Asti","Moscato Bianco","Piedmont, Italy","Sparkling","DOCG","A sweet white sparkling wine produced in Asti and Alessandria [8]."
"Gavi","Cortese","Piedmont, Italy","Varietal","DOCG","Also known as Cortese di Gavi; produced in several styles including Spumante [8]."
"Vernaccia di San Gimignano","Vernaccia","Tuscany, Italy","Varietal","DOCG","A white wine from the Siena province classified as DOCG [7]."
"Taurasi","Aglianico","Campania, Italy","Varietal","DOCG","A prestigious red wine from the Avellino province [13]."
"Fiano di Avellino","Fiano","Campania, Italy","Varietal","DOCG","A high-quality white wine from Southern Italy [13]."
"Greco di Tufo","Greco","Campania, Italy","Varietal","DOCG","Includes a sparkling (Spumante) version [13]."
"Vermentino di Gallura","Vermentino","Sardinia, Italy","Varietal","DOCG","The only DOCG wine produced on the island of Sardinia [14]."
"Cerasuolo di Vittoria","Nero d'Avola, Frappato","Sicily, Italy","Blend","DOCG","The primary DOCG wine from the island of Sicily [14]."
"Malbec (Argentina)","Malbec","Mendoza, Argentina","Varietal","90-95 (RP)","Known for its 'terroir blend' where grapes from different altitudes are combined [15, 16]."
"Bodega Colomé","Malbec","Salta, Argentina","Varietal","N/A","Vineyards reach altitudes of up to 3,111m, among the highest in the world [17]."
"Grace Vineyard","Cabernet Sauvignon, Merlot","Shanxi, China","Blend","N/A","Operates vineyards at altitudes of 870m-950m with extreme winter conditions [18]."
"Domaine Zouina","Syrah, Tempranillo, Chardonnay","Meknès, Morocco","Varietal/Blend","N/A","Located at the foot of the Middle Atlas Mountains at altitudes above 800m [19, 20]."
"Les Crêtes","Petite Arvine, Chardonnay, Nebbiolo","Aosta Valley, Italy","Varietal/Blend","N/A","Practises 'heroic viticulture' on steep Alpine slopes up to 900m [21, 22]."
"Apu Winery","Cabernet Sauvignon, Syrah","Apurimac, Peru","Varietal","N/A","Vineyards are located on extremely steep slopes at altitudes up to 3,300m [23, 24]."
"Goruli Mtsvane","Goruli Mtsvane","Georgia","Sparkling","N/A","An unconventional sparkling wine made using the traditional method [25]."
"Schlumberger","N/A","Austria","Sparkling","N/A","A well-regarded Austrian producer of sparkling wine [25]."
"Los Bermejos Malvasia","Malvasia","Canary Islands, Spain","Sparkling","N/A","A 'Brut Nature' sparkling wine described as brilliant and cool [26]."
"Movia Puro","N/A","Slovenia","Sparkling","N/A","An undisgorged sparkling wine that consumers disgorge themselves [27]."
"Graham Beck","N/A","South Africa","Sparkling","N/A","Produces 'Method Cap Classique' sparkling wines [28]."
"Blanquette de Limoux","Mauzac (min 90%)","Languedoc, France","Sparkling","AOC","Must be made using the traditional method with the Mauzac grape [29]."
"Gaudensius","Nerello Mascalese","Etna, Italy","Sparkling","DOC","A savory Blanc de Noir made using the traditional champagne method [30]."
"Bugey-Cerdon","Gamay, Poulsard","Savoie, France","Sparkling","N/A","A sweet pink fizz with high acidity made in the ancestral method [31]."
"Zinfandel (California)","Zinfandel","California, USA","Varietal","N/A","A notable New World varietal widely recognised by consumers [32, 33]."
"Shiraz (Australia)","Shiraz","Australia","Varietal","N/A","Australia's most cultivated variety, occupying 27% of its vineyard area [34]."
"Pinot Noir (Burgundy)","Pinot Noir","Burgundy, France","Varietal","N/A","An ancient variety that defines the organoleptic characteristics of Burgundy [32, 35]."
"Touriga Nacional","Touriga Nacional","Portugal","Varietal","N/A","A notable Portuguese varietal grown for high-quality red wines [32, 36]."
"Chenin Blanc (South Africa)","Chenin Blanc","South Africa","Varietal","N/A","The leading variety in South Africa, covering 15% of the total area [37, 38]."
"Riesling (Germany)","Riesling","Germany","Varietal","N/A","The most planted variety in Germany, particularly in temperate regions [39, 40]."
